,mean,std
PCA_144,0.0041248346660760805,2.3005827883325934e-05
PCA_191,0.004125266536508625,2.733517008312223e-05
PCA_150,0.004125650828445943,2.096886537333757e-05
PCA_165,0.0041264853186870395,2.4288813382784e-05
PCA_209,0.00412697593597159,2.5314567132988177e-05
PCA_216,0.004127167728971433,2.3943323867472463e-05
PCA_139,0.004127591356709855,2.530411293666214e-05
PCA_131,0.004127599036640654,2.4628778419276854e-05
PCA_211,0.004127984528092016,2.500251111095774e-05
PCA_219,0.0041281396318821485,2.2246390200794487e-05
PCA_207,0.0041285648818341954,2.3531361507903696e-05
PCA_156,0.004129274697218685,2.5778774059270402e-05
PCA_74,0.004129307116315126,2.3326094444719948e-05
PCA_212,0.004129841304059258,2.390697565296693e-05
PCA_106,0.0041303067415489085,2.1976674651924032e-05
PCA_226,0.004131140627201896,2.4449476143549565e-05
PCA_80,0.004131491417519193,2.5404182178599273e-05
PCA_8,0.004132270122702806,2.521486568798441e-05
PCA_63,0.004133158880230851,2.2501579683525198e-05
PCA_220,0.004133523650410602,2.2588161472770015e-05
PCA_192,0.004134157880941453,2.2836845990449006e-05
PCA_126,0.004134438343816426,2.308561763724835e-05
PCA_162,0.004134680927424415,2.355622370134746e-05
PCA_52,0.004135042004985442,2.324154579966944e-05
PCA_185,0.004135194505442586,2.3985046353985762e-05
PCA_114,0.0041353704483910155,2.2877719458583758e-05
PCA_199,0.004136433772070803,2.3738504420019448e-05
PCA_237,0.004136695608641172,2.8189479656272404e-05
PCA_94,0.004137350153357702,2.240071690317646e-05
PCA_225,0.0041382296795232955,2.4703117802806098e-05
PCA_138,0.00413828629568728,2.3779476429825794e-05
PCA_210,0.0041386372615909136,2.6911882369179865e-05
PCA_153,0.004138747220601522,2.361167276977104e-05
PCA_109,0.004139298564357537,2.330342699517579e-05
PCA_214,0.004140258250764361,2.203557923486096e-05
PCA_221,0.004140344554402885,2.53814938761958e-05
PCA_200,0.004140390478136692,2.662926377467862e-05
PCA_69,0.004141752727781916,2.2100240171984573e-05
PCA_78,0.004141942591514218,2.4870161259990845e-05
