iter	Passed	Remaining
415	2996	4206
416	3003	4199
417	3010	4191
418	3017	4183
419	3024	4176
420	3031	4168
421	3038	4161
422	3045	4154
423	3053	4147
424	3060	4140
425	3066	4132
426	3073	4124
427	3080	4117
428	3087	4109
429	3094	4102
430	3101	4094
431	3108	4087
432	3115	4079
433	3122	4071
434	3129	4064
435	3136	4056
436	3142	4049
437	3150	4042
438	3157	4034
439	3164	4027
440	3171	4020
441	3178	4012
442	3185	4005
443	3192	3998
444	3203	3995
445	3210	3988
446	3217	3980
447	3224	3973
448	3231	3965
449	3238	3958
450	3245	3950
451	3252	3943
452	3259	3936
453	3266	3929
454	3274	3921
455	3281	3914
456	3287	3906
457	3295	3899
458	3301	3891
459	3309	3884
460	3316	3877
461	3322	3869
462	3330	3862
463	3336	3854
464	3343	3846
465	3350	3839
466	3357	3832
467	3364	3824
468	3371	3817
469	3378	3809
470	3385	3802
471	3392	3795
472	3400	3788
473	3406	3780
474	3414	3773
475	3421	3766
476	3428	3759
477	3435	3751
478	3442	3744
479	3449	3736
480	3456	3729
481	3463	3722
482	3470	3714
483	3477	3707
484	3484	3699
485	3491	3692
486	3498	3684
487	3505	3677
488	3512	3670
489	3519	3663
490	3527	3656
491	3534	3649
492	3541	3641
493	3548	3634
494	3555	3627
495	3562	3619
496	3569	3612
497	3576	3604
498	3583	3597
499	3590	3590
500	3597	3582
501	3604	3576
502	3611	3568
503	3618	3561
504	3626	3554
505	3633	3546
506	3640	3539
507	3647	3532
508	3654	3524
509	3661	3517
510	3667	3510
511	3675	3503
512	3683	3496
513	3689	3488
514	3696	3481
515	3705	3475
516	3712	3468
517	3719	3460
518	3726	3453
519	3733	3446
520	3740	3438
521	3747	3431
522	3754	3424
523	3761	3416
524	3768	3409
525	3775	3402
526	3782	3394
527	3789	3387
528	3796	3380
529	3803	3373
530	3812	3366
531	3819	3360
532	3826	3352
533	3833	3345
534	3840	3338
535	3848	3331
536	3855	3323
537	3870	3324
538	3877	3316
539	3884	3309
540	3892	3302
541	3899	3294
542	3905	3287
543	3912	3279
544	3919	3272
545	3926	3264
546	3933	3257
547	3940	3250
548	3947	3242
549	3954	3235
550	3961	3228
551	3968	3220
552	3975	3213
553	3982	3206
554	3989	3198
555	3996	3191
556	4003	3183
557	4010	3176
558	4017	3169
559	4023	3161
560	4031	3154
561	4038	3147
562	4045	3140
563	4052	3132
564	4059	3125
565	4065	3117
566	4073	3110
567	4080	3103
568	4087	3095
569	4094	3088
570	4101	3081
571	4108	3074
572	4115	3066
573	4122	3059
574	4129	3051
575	4138	3046
576	4150	3042
577	4157	3035
578	4164	3027
579	4170	3020
580	4178	3013
581	4185	3005
582	4192	2998
583	4199	2991
584	4206	2984
585	4213	2976
586	4220	2969
587	4227	2962
588	4234	2954
589	4242	2948
590	4249	2940
591	4256	2933
592	4263	2926
593	4270	2918
594	4277	2911
595	4286	2905
596	4299	2902
597	4308	2896
598	4316	2889
599	4322	2881
600	4329	2874
601	4337	2867
602	4344	2860
603	4351	2853
604	4358	2845
605	4369	2840
606	4377	2834
607	4384	2826
608	4391	2819
609	4398	2812
610	4405	2804
611	4412	2797
612	4419	2790
613	4426	2782
614	4433	2775
615	4440	2768
616	4447	2760
617	4453	2752
618	4460	2745
619	4467	2738
620	4474	2730
621	4481	2723
622	4488	2716
623	4495	2708
624	4502	2701
625	4510	2694
626	4516	2687
627	4523	2679
628	4531	2672
629	4537	2665
630	4545	2657
631	4552	2650
632	4559	2643
633	4566	2635
634	4573	2628
635	4580	2621
636	4586	2613
637	4593	2606
638	4601	2599
639	4607	2591
640	4614	2584
641	4621	2577
642	4629	2570
643	4636	2562
644	4642	2555
645	4649	2548
646	4656	2540
647	4664	2533
648	4671	2526
