i,name,mean,convergence_index
0,feature_intelligence1,0.014145000000000029,0.08186151444096035
1,feature_intelligence2,0.01200000000000002,0.08186151444096035
2,feature_intelligence3,0.010635000000000016,0.08186151444096035
3,feature_intelligence4,0.012570000000000017,0.08186151444096035
4,feature_intelligence5,0.011235000000000007,0.08186151444096035
5,feature_intelligence6,0.01503000000000004,0.08186151444096035
6,feature_intelligence7,0.01347000000000002,0.08186151444096035
7,feature_intelligence8,0.013575000000000045,0.08186151444096035
8,feature_intelligence9,0.011550000000000029,0.08186151444096035
9,feature_intelligence10,0.011325000000000014,0.08186151444096035
10,feature_intelligence11,0.013605000000000046,0.08186151444096035
11,feature_intelligence12,0.011805000000000024,0.08186151444096035
12,feature_charisma1,0.013215000000000043,0.08186151444096035
13,feature_charisma2,0.015660000000000035,0.08186151444096035
14,feature_charisma3,0.012585000000000037,0.08186151444096035
15,feature_charisma4,0.015600000000000029,0.08186151444096035
16,feature_charisma5,0.012120000000000025,0.08186151444096035
17,feature_charisma6,0.012945000000000028,0.08186151444096035
18,feature_charisma7,0.013590000000000045,0.08186151444096035
19,feature_charisma8,0.014310000000000038,0.08186151444096035
20,feature_charisma9,0.012675000000000035,0.08186151444096035
21,feature_charisma10,0.011475000000000015,0.08186151444096035
22,feature_charisma11,0.011835000000000043,0.08186151444096035
23,feature_charisma12,0.01477500000000002,0.08186151444096035
24,feature_charisma13,0.015255000000000027,0.08186151444096035
25,feature_charisma14,0.013335000000000029,0.08186151444096035
26,feature_charisma15,0.012525000000000019,0.08186151444096035
27,feature_charisma16,0.012360000000000029,0.08186151444096035
28,feature_charisma17,0.01362000000000004,0.08186151444096035
29,feature_charisma18,0.010529999999999996,0.08186151444096035
30,feature_charisma19,0.011370000000000019,0.08186151444096035
31,feature_charisma20,0.01215000000000002,0.08186151444096035
32,feature_charisma21,0.01480500000000003,0.08186151444096035
33,feature_charisma22,0.012720000000000026,0.08186151444096035
34,feature_charisma23,0.011445000000000028,0.08186151444096035
35,feature_charisma24,0.011340000000000025,0.08186151444096035
36,feature_charisma25,0.014535000000000017,0.08186151444096035
37,feature_charisma26,0.01003500000000001,0.08186151444096035
38,feature_charisma27,0.013170000000000046,0.08186151444096035
39,feature_charisma28,0.014370000000000051,0.08186151444096035
40,feature_charisma29,0.010079999999999997,0.08186151444096035
41,feature_charisma30,0.013965000000000014,0.08186151444096035
42,feature_charisma31,0.01315500000000003,0.08186151444096035
43,feature_charisma32,0.012585000000000039,0.08186151444096035
44,feature_charisma33,0.012045000000000045,0.08186151444096035
45,feature_charisma34,0.011610000000000013,0.08186151444096035
46,feature_charisma35,0.011640000000000027,0.08186151444096035
47,feature_charisma36,0.011460000000000024,0.08186151444096035
48,feature_charisma37,0.011655000000000025,0.08186151444096035
49,feature_charisma38,0.012540000000000027,0.08186151444096035
50,feature_charisma39,0.011054999999999999,0.08186151444096035
51,feature_charisma40,0.010529999999999994,0.08186151444096035
52,feature_charisma41,0.010785000000000005,0.08186151444096035
53,feature_charisma42,0.010559999999999995,0.08186151444096035
54,feature_charisma43,0.01396500000000003,0.08186151444096035
55,feature_charisma44,0.012210000000000033,0.08186151444096035
56,feature_charisma45,0.011760000000000015,0.08186151444096035
57,feature_charisma46,0.01161000000000002,0.08186151444096035
58,feature_charisma47,0.01243500000000003,0.08186151444096035
59,feature_charisma48,0.012030000000000034,0.08186151444096035
60,feature_charisma49,0.010454999999999997,0.08186151444096035
61,feature_charisma50,0.011640000000000029,0.08186151444096035
62,feature_charisma51,0.011445000000000012,0.08186151444096035
63,feature_charisma52,0.011205000000000019,0.08186151444096035
64,feature_charisma53,0.015975000000000027,0.08186151444096035
65,feature_charisma54,0.014790000000000041,0.08186151444096035
66,feature_charisma55,0.013260000000000032,0.08186151444096035
67,feature_charisma56,0.013380000000000029,0.08186151444096035
68,feature_charisma57,0.013230000000000046,0.08186151444096035
69,feature_charisma58,0.011700000000000035,0.08186151444096035
70,feature_charisma59,0.011055000000000034,0.08186151444096035
71,feature_charisma60,0.014955000000000034,0.08186151444096035
72,feature_charisma61,0.010439999999999998,0.08186151444096035
73,feature_charisma62,0.01144500000000002,0.08186151444096035
74,feature_charisma63,0.011130000000000006,0.08186151444096035
75,feature_charisma64,0.013395000000000032,0.08186151444096035
76,feature_charisma65,0.01152000000000003,0.08186151444096035
77,feature_charisma66,0.010950000000000022,0.08186151444096035
78,feature_charisma67,0.011385000000000025,0.08186151444096035
79,feature_charisma68,0.010815000000000005,0.08186151444096035
80,feature_charisma69,0.011895000000000029,0.08186151444096035
81,feature_charisma70,0.013725000000000044,0.08186151444096035
82,feature_charisma71,0.01284000000000003,0.08186151444096035
83,feature_charisma72,0.011955000000000032,0.08186151444096035
84,feature_charisma73,0.016890000000000075,0.08186151444096035
85,feature_charisma74,0.010995000000000013,0.08186151444096035
86,feature_charisma75,0.010080000000000006,0.08186151444096035
