type,name,mean
0,univariate,PCA_0,0.00034577403396677007
1,univariate,PCA_1,0.0003958912702393606
2,univariate,PCA_2,0.0003184280500709691
3,univariate,PCA_3,0.00040013706902219124
4,univariate,PCA_4,0.0004157723503425616
5,univariate,PCA_5,0.00043135784319718514
6,univariate,PCA_6,0.0005553074459111662
7,univariate,PCA_7,0.0012335262195162543
8,univariate,PCA_8,0.0006080820617380985
9,univariate,PCA_9,0.0004919158628258832
10,univariate,PCA_10,0.00028445474095724506
11,univariate,PCA_11,0.00019184564282205313
12,univariate,PCA_12,0.00024153927153404425
13,univariate,PCA_13,0.00032864439747544704
14,univariate,PCA_14,0.0003897072983428984
15,univariate,PCA_15,0.000635865715684348
16,univariate,PCA_16,0.00015057543169376818
17,univariate,PCA_17,0.0004408753127543513
18,univariate,PCA_18,0.0004821063397887728
19,univariate,PCA_19,0.0005290541251685453
20,univariate,PCA_20,0.0003903516942305048
21,univariate,PCA_21,0.00017773375278203743
22,univariate,PCA_22,0.00029039006950680885
23,univariate,PCA_23,0.0002599321547383541
24,univariate,PCA_24,0.00024414939190218945
25,univariate,PCA_25,0.00022276160737186727
26,univariate,PCA_26,0.0002251240550753941
27,univariate,PCA_27,7.910388993263055e-05
28,univariate,PCA_28,0.00028256263298727055
29,univariate,PCA_29,0.00035619441695710355
30,univariate,PCA_30,0.00015289498523700062
31,univariate,PCA_31,0.0005657526745015229
32,univariate,PCA_32,0.0002706829861453027
33,univariate,PCA_33,0.0004847411142248447
34,univariate,PCA_34,0.00016756134826936473
35,univariate,PCA_35,0.00024521616589656757
36,univariate,PCA_36,0.0001568452067281554
37,univariate,PCA_37,0.0005083470618901276
38,univariate,PCA_38,0.00012550244439629086
39,univariate,PCA_39,0.00010934132103752428
40,univariate,PCA_40,0.00030833733163068824
41,univariate,PCA_41,0.00014838370101810306
42,univariate,PCA_42,0.00011238216805124399
43,univariate,PCA_43,0.00010287340345107004
44,univariate,PCA_44,0.0001852480323087412
45,univariate,PCA_45,9.82301188995632e-05
46,univariate,PCA_46,0.0004363754581000355
47,univariate,PCA_47,0.00037257134951366566
48,univariate,PCA_48,0.0003521461808480577
49,univariate,PCA_49,0.0002097174524438515
50,univariate,PCA_50,0.0005286464648019623
51,univariate,PCA_51,0.0006628509307770182
52,univariate,PCA_52,0.00022536233178382343
53,univariate,PCA_53,0.0007097543341305322
54,univariate,PCA_54,0.0008082622490534197
55,univariate,PCA_55,0.00019966170502524246
56,univariate,PCA_56,0.00012536455873688444
57,univariate,PCA_57,0.00015339305172999498
58,univariate,PCA_58,0.0006688783070042323
59,univariate,PCA_59,0.00046840896606921206
60,univariate,PCA_60,0.00014605676058157207
61,univariate,PCA_61,0.0001905855993199166
62,univariate,PCA_62,0.00027166718494864837
63,univariate,PCA_63,0.0003422269042454194
64,univariate,PCA_64,0.00010242688987669566
65,univariate,PCA_65,0.00010710428501052626
66,univariate,PCA_66,8.490699920161816e-05
67,univariate,PCA_67,0.0001353063160476792
68,univariate,PCA_68,0.00019079643352015832
69,univariate,PCA_69,0.0001217595063335516
70,univariate,PCA_70,0.00044171498473975784
71,univariate,PCA_71,0.00014947887781128596
72,univariate,PCA_72,0.0001573410109057582
73,univariate,PCA_73,7.144111286538308e-05
74,univariate,PCA_74,9.862345531134597e-05
75,univariate,PCA_75,0.00010683218374015529
76,univariate,PCA_76,9.271121140334227e-05
77,univariate,PCA_77,0.0002871759338780938
78,univariate,PCA_78,0.00020061111072445527
79,univariate,PCA_79,0.00011676557296803138
80,univariate,PCA_80,0.0001249229551045942
81,univariate,PCA_81,0.00019405894846684265
82,univariate,PCA_82,8.109472304306091e-05
83,univariate,PCA_83,0.00020465129046832932
84,univariate,PCA_84,0.0003134022925819588
85,univariate,PCA_85,0.00010563784330555594
86,univariate,PCA_86,0.0002162715750541594
87,univariate,PCA_87,0.00021604368235930268
88,univariate,PCA_88,0.0001916835307036887
89,univariate,PCA_89,0.0002310984124661639
90,univariate,PCA_90,0.00017676375709554308
91,univariate,PCA_91,0.00022380444184640563
92,univariate,PCA_92,0.00015313452961997797
93,univariate,PCA_93,0.00011068294085134252
94,univariate,PCA_94,0.00018969356963626475
95,univariate,PCA_95,0.00012828529297585783
96,univariate,PCA_96,0.0002714132197071583
97,univariate,PCA_97,0.00041853522875106116
98,univariate,PCA_98,0.00014759016899667875
99,univariate,PCA_99,0.00016161392788308803
100,univariate,PCA_100,0.0001359165993746396
101,univariate,PCA_101,0.00011466978887638667
102,univariate,PCA_102,7.90960380186151e-05
103,univariate,PCA_103,0.00024357813323945822
104,univariate,PCA_104,0.00037955109858416573
105,univariate,PCA_105,0.00011970255077072138
106,univariate,PCA_106,0.00034467535406669417
107,univariate,PCA_107,0.00040051740060922784
108,univariate,PCA_108,0.00010367978912360126
109,univariate,PCA_109,0.00042835729229943664
110,univariate,PCA_110,0.00023732982999584613
111,univariate,PCA_111,0.0003182911382738265
112,univariate,PCA_112,0.00026649602664497883
113,univariate,PCA_113,0.00023829308337060048
114,univariate,PCA_114,0.0001647122089128265
115,univariate,PCA_115,8.481363125600586e-05
116,univariate,PCA_116,8.719757862478243e-05
117,univariate,PCA_117,0.00010456794406967964
118,univariate,PCA_118,0.00010671226861559589
119,univariate,PCA_119,0.0004160018984101899
120,univariate,PCA_120,9.919492625440664e-05
121,univariate,PCA_121,0.0001608826850082817
122,univariate,PCA_122,0.00019355270883980068
123,univariate,PCA_123,0.00038331374860589725
124,univariate,PCA_124,0.0002502645036963708
125,univariate,PCA_125,0.0002317960085324031
