name,mean
feature_intelligence1,0.0012311407
feature_intelligence2,0.0019689451
feature_intelligence3,0.0011655384
feature_intelligence4,0.0017728979
feature_intelligence5,0.0007465384
feature_intelligence6,0.0009770573
feature_intelligence7,0.0006541563
feature_intelligence8,0.0005788755
feature_intelligence9,0.0017652474
feature_intelligence10,0.00047747034
feature_intelligence11,0.00087039435
feature_intelligence12,0.0010891708
feature_charisma1,0.0007659497
feature_charisma2,0.0004619634
feature_charisma3,0.00054898416
feature_charisma4,0.00041703717
feature_charisma5,0.0015767528
feature_charisma6,0.0008077082
feature_charisma7,0.0006425889
feature_charisma8,0.00034179148
feature_charisma9,0.0005563394
feature_charisma10,0.00071897457
feature_charisma11,0.00047778382
feature_charisma12,0.0004403194
feature_charisma13,0.00055492314
feature_charisma14,0.00035438014
feature_charisma15,0.00044583748
feature_charisma16,0.0005343247
feature_charisma17,0.00056725385
feature_charisma18,0.0010164154
feature_charisma19,0.00082380587
feature_charisma20,0.00071140006
feature_charisma21,0.0006153626
feature_charisma22,0.00035733831
feature_charisma23,0.00042971285
feature_charisma24,0.0006657811
feature_charisma25,0.00022185918
feature_charisma26,0.0005421594
feature_charisma27,0.0003732805
feature_charisma28,0.00039710768
feature_charisma29,0.00046475025
feature_charisma30,0.00033853378
feature_charisma31,0.00047529934
feature_charisma32,0.00060967606
feature_charisma33,0.0005857474
feature_charisma34,0.0004376693
feature_charisma35,0.00071276113
feature_charisma36,0.0002857061
feature_charisma37,0.0011697606
feature_charisma38,0.00045538225
feature_charisma39,0.0008249221
feature_charisma40,0.0005133396
feature_charisma41,0.0005507475
feature_charisma42,0.0004617056
feature_charisma43,0.00041725265
feature_charisma44,0.0006003472
feature_charisma45,0.0006858805
feature_charisma46,0.0010015925
feature_charisma47,0.0005927499
feature_charisma48,0.0006795219
feature_charisma49,0.00021361074
feature_charisma50,0.00059656386
feature_charisma51,0.0007763542
feature_charisma52,0.00062575657
feature_charisma53,0.0011104542
feature_charisma54,0.0008992331
feature_charisma55,0.0007611294
feature_charisma56,0.00046359503
feature_charisma57,0.000947537
feature_charisma58,0.0012178861
feature_charisma59,0.00020377278
feature_charisma60,0.0006921152
feature_charisma61,0.0005725844
feature_charisma62,0.00034508886
feature_charisma63,0.001992716
feature_charisma64,0.00039410216
feature_charisma65,0.0003363421
feature_charisma66,0.00057959015
feature_charisma67,0.00083829236
feature_charisma68,0.00051404
feature_charisma69,0.0010898948
feature_charisma70,0.0009509503
feature_charisma71,0.00017508048
feature_charisma72,0.0005893076
feature_charisma73,0.00028284464
feature_charisma74,0.0005705814
feature_charisma75,0.00087856175
feature_charisma76,0.00069437927
feature_charisma77,0.0005494387
feature_charisma78,0.00076116883
feature_charisma79,0.0012186522
feature_charisma80,0.00046135348
feature_charisma81,0.000697492
feature_charisma82,0.00030153352
feature_charisma83,0.00042722444
feature_charisma84,0.0003862842
feature_charisma85,0.0013377813
feature_charisma86,0.00063379796
feature_strength1,0.0010393227
feature_strength2,0.00067621435
feature_strength3,0.0008046497
feature_strength4,0.0014031962
feature_strength5,0.00053208397
feature_strength6,0.00040558638
feature_strength7,0.00052419916
feature_strength8,0.00055476825
feature_strength9,0.00047454715
feature_strength10,0.0008821766
feature_strength11,0.00066440855
feature_strength12,0.0005737014
feature_strength13,0.000708322
feature_strength14,0.0008439766
feature_strength15,0.0010353744
feature_strength16,0.0006714312
feature_strength17,0.00025645737
feature_strength18,0.0004988894
feature_strength19,0.0013222217
feature_strength20,0.00046568134
feature_strength21,0.0005057038
feature_strength22,0.0010869632
feature_strength23,0.0005610471
feature_strength24,0.00071027596
feature_strength25,0.0005937068
feature_strength26,0.00080397463
feature_strength27,0.0006726185
feature_strength28,0.00072970905
feature_strength29,0.0006890311
feature_strength30,0.0004883809
feature_strength31,0.00047176392
feature_strength32,0.0004386849
feature_strength33,0.00057712046
feature_strength34,0.0016996056
feature_strength35,0.0010578433
feature_strength36,0.0007192373
feature_strength37,0.00069206074
feature_strength38,0.00048305336
feature_dexterity1,0.0015089866
feature_dexterity2,0.0012774334
feature_dexterity3,0.00074322446
feature_dexterity4,0.0017394315
feature_dexterity5,0.00064459036
feature_dexterity6,0.0024957773
feature_dexterity7,0.0022354205
feature_dexterity8,0.00044789375
feature_dexterity9,0.0013386174
feature_dexterity10,0.0008147437
feature_dexterity11,0.0020219323
feature_dexterity12,0.0009385629
feature_dexterity13,0.00060112146
feature_dexterity14,0.00204326
feature_constitution1,0.0006406285
feature_constitution2,0.0008092364
feature_constitution3,0.0005790606
feature_constitution4,0.0004490433
feature_constitution5,0.00047271405
feature_constitution6,0.00064402865
feature_constitution7,0.00076296163
feature_constitution8,0.0006348228
feature_constitution9,0.0009968308
