iter	RMSE
0	7.384468971
1	7.199857244
2	7.081816828
3	6.904771405
4	6.732152117
5	6.563848311
6	6.422441766
7	6.287725893
8	6.127057604
9	6.073433735
10	5.921597889
11	5.770911919
12	5.640428529
13	5.499417814
14	5.361932367
15	5.282585253
16	5.213672232
17	5.083330424
18	4.939463051
19	4.829662515
20	4.70892095
21	4.587612562
22	4.491471498
23	4.422531504
24	4.311968215
25	4.201615144
26	4.096574764
27	3.994160393
28	3.892462402
29	3.783823706
30	3.689228112
31	3.596997408
32	3.498254258
33	3.402682013
34	3.317614961
35	3.234674586
36	3.15380772
37	3.074962526
38	2.998088462
39	2.923136249
40	2.850057842
41	2.772572505
42	2.703258192
43	2.635143227
44	2.569264646
45	2.505033028
46	2.442407202
47	2.381347021
48	2.321813344
49	2.26376801
50	2.207173809
51	2.151994463
52	2.0981946
53	2.045739735
54	1.994596241
55	1.944618049
56	1.896002597
57	1.848602532
58	1.802387468
59	1.75732778
60	1.713394585
61	1.670707985
62	1.628940285
63	1.588595967
64	1.548881067
65	1.51015904
66	1.472405063
67	1.435594936
68	1.399705062
69	1.364712435
70	1.330594624
71	1.297329758
72	1.264896513
73	1.233757433
74	1.203573159
75	1.17348383
76	1.144957186
77	1.117306642
78	1.090506227
79	1.064530878
80	1.037917606
81	1.013372499
82	0.9880381861
83	0.9648458444
84	0.9423712044
85	0.918811924
86	0.8975787207
87	0.8751392524
88	0.855080442
89	0.8337034306
90	0.8128608445
91	0.7943867501
92	0.7745270811
93	0.7551639038
94	0.7362848059
95	0.7178776855
96	0.7017046749
97	0.6841620578
98	0.6670580061
99	0.6503815557
100	0.6341220165
101	0.6182689659
102	0.6044657451
103	0.5893541013
104	0.5746202485
105	0.5602547421
106	0.5462483733
107	0.5341669159
108	0.5208127428
109	0.507792424
110	0.4950976132
111	0.4842532457
112	0.4737524417
113	0.4619086305
114	0.4503609146
115	0.4406960894
116	0.429678687
117	0.4189367197
118	0.4084633015
119	0.399791475
120	0.389796688
121	0.3800517706
122	0.3705504762
123	0.3612867142
124	0.3537014818
125	0.3448589447
126	0.3377016802
127	0.3286849646
128	0.3204678403
129	0.3124561442
130	0.3046447405
131	0.2983507594
132	0.2903755828
133	0.2831161932
134	0.2760382882
135	0.2691373309
136	0.2624088975
137	0.2570133278
138	0.2505879945
139	0.2443232945
140	0.2382152121
141	0.2322598317
142	0.2264533358
143	0.2207920023
144	0.2152722022
145	0.209890397
146	0.2042731075
147	0.1991662797
148	0.1938594306
149	0.1890129448
150	0.1842876211
151	0.180489005
152	0.1759767798
153	0.1715773602
154	0.1669997263
155	0.1628247331
156	0.1587541147
157	0.1547852618
158	0.1509156302
159	0.1469068875
160	0.1432342153
161	0.1396533598
162	0.1367676205
163	0.13334843
164	0.1300147192
165	0.1267643512
166	0.1235952423
167	0.120307684
168	0.1172999919
169	0.1141935153
170	0.1113386774
171	0.1090322878
172	0.1061405485
173	0.1034870347
174	0.1007543275
175	0.09823546924
176	0.09577958247
177	0.09379054186
178	0.09144577828
179	0.08915963379
180	0.08680163202
181	0.08463159119
182	0.08251580138
183	0.08045290631
184	0.07844158363
185	0.0763760639
186	0.0747860011
187	0.07281355392
188	0.07090146702
189	0.0694216774
190	0.06768613544
191	0.06590568764
192	0.06425804542
193	0.06265159426
194	0.06108530438
195	0.05955817175
196	0.05799831915
197	0.05654836115
198	0.05536517392
199	0.05398104455
200	0.052564767
201	0.05119162332
202	0.04991183272
203	0.04866403688
204	0.04744743594
205	0.0464521782
206	0.04529087373
207	0.04410557914
208	0.04295630438
209	0.04205298843
210	0.04100166371
211	0.03993124317
212	0.03893296208
213	0.03792095213
214	0.03697292831
215	0.03604860509
216	0.03514738995
217	0.03440642695
218	0.03354626626
219	0.03267256857
220	0.03185575434
221	0.03105936047
222	0.03025394016
223	0.02949759164
224	0.02876015184
225	0.02804114803
226	0.02734011932
227	0.02676229534
228	0.02609323795
229	0.02544090699
230	0.0248048843
231	0.02418476219
232	0.02355634589
233	0.02296743723
234	0.02239325129
235	0.02183342
236	0.02126856347
237	0.02081792676
238	0.0202782246
239	0.01977126898
240	0.01926093007
241	0.01885180028
242	0.01836415852
243	0.01790505455
244	0.01744392092
245	0.01700782289
246	0.01658262731
247	0.01616806162
248	0.01576386008
249	0.01542816506
250	0.01504246092
251	0.01466639939
252	0.0142997394
253	0.01393065495
254	0.01358238858
255	0.01324282886
256	0.01291175813
257	0.01258896417
258	0.01227424006
259	0.01196738406
260	0.01166819945
261	0.01137649446
262	0.01109208209
263	0.01081478004
264	0.01058575159
265	0.01031192136
266	0.01004632142
267	0.009795163379
268	0.009587244734
269	0.009347563612
270	0.009113874519
271	0.008886027652
272	0.008663876958
273	0.008447280031
274	0.008236098027
275	0.008023482726
276	0.007817248427
277	0.007621817214
278	0.007431271781
279	0.007245489983
280	0.007091334491
281	0.006914051126
282	0.006735921248
283	0.006563130126
284	0.00639905187
285	0.006239075571
286	0.00608309868
287	0.00593102121
288	0.005804538637
289	0.005659425169
290	0.005517939537
291	0.005376057237
292	0.005241655804
293	0.005110614407
294	0.004979774894
295	0.00485528052
296	0.004733898505
297	0.004615551041
298	0.004516892122
299	0.004403969817
300	0.00429387057
301	0.004186523804
302	0.004079083815
303	0.003974856204
304	0.003875484798
305	0.003778597676
306	0.00369764003
307	0.003605199028
308	0.003515069051
309	0.003427192323
310	0.003341512514
311	0.0032579747
312	0.003176525331
313	0.003095160282
314	0.003017781274
315	0.002940819818
316	0.002867299321
317	0.00280572227
318	0.002733990169
319	0.002664398564
320	0.002607043817
321	0.002541867721
322	0.002477002293
323	0.002415077235
324	0.002353719072
325	0.002294876094
326	0.002245358332
327	0.002189224373
328	0.002133461101
329	0.002080124572
330	0.002027375226
331	0.001976690845
332	0.001933936419
333	0.001884766223
334	0.001837647066
335	0.001791705889
336	0.00174635521
337	0.001702696329
338	0.00166012892
339	0.001618625697
340	0.001578160054
341	0.001538706052
342	0.0015002384
343	0.001467710657
344	0.00143101789
345	0.001394700998
346	0.001359833473
347	0.001325837636
348	0.001297264248
349	0.001264832641
350	0.001233211825
351	0.001202381529
352	0.00117232199
353	0.00114301394
354	0.001114438591
355	0.001086577626
356	0.001059413185
357	0.001032927855
358	0.001007104658
359	0.0009819270413
360	0.0009569406489
361	0.00093269781
362	0.0009093803644
363	0.000886645855
364	0.0008644797083
365	0.0008428677152
366	0.000821796022
367	0.0008012511212
368	0.0007812198429
369	0.0007616893465
370	0.0007426471125
371	0.0007266059939
372	0.0007081484793
373	0.000690444767
374	0.0006729839151
375	0.000656159317
376	0.0006397553338
